,bestVendorBuylist,bestVendorBuylistPrice,countForTrade,date,fair_price,lowestPrice,lowestPriceVendor,name,percentageChangeSinceOneWeekAgo,setName
20,CoolStuff,7.5,0,2019-11-040154,1.28,0.99,Card Kingdom,Blacklance Paragon,77.77777099609375,Throne_of_Eldraine_Foil
21,ABUGames,0.02,0,2019-11-040154,0.05,0.05,TCG Player,Bloodhaze Wolverine,-28.57142639160156,Throne_of_Eldraine_Foil
22,ABUGames,0.02,0,2019-11-040154,0.04,0.04,TCG Player,Blow Your House Down,300.0,Throne_of_Eldraine_Foil
23,ABUGames,0.05,0,2019-11-040154,0.08,0.08,TCG Player,Bog Naughty,0.0,Throne_of_Eldraine_Foil
24,UNDEFINED,0.0,0,2019-11-040154,3.44,2.49,StrikeZone,Bonecrusher Giant,2.994016408920288,Throne_of_Eldraine_Foil
25,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Boulder Rush,,Throne_of_Eldraine_Foil
26,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Bramblefort Fink,,Throne_of_Eldraine_Foil
27,CoolStuff,10.0,0,2019-11-040154,17.93,15.99,StrikeZone,Brazen Borrower,1.3566973209381101,Throne_of_Eldraine_Foil
28,ABUGames,0.03,0,2019-11-040154,0.11,0.11,TCG Player,Brimstone Trebuchet,-8.333332061767576,Throne_of_Eldraine_Foil
29,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Bring Back,,Throne_of_Eldraine_Foil
30,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Bring to Life,,Throne_of_Eldraine_Foil
31,ABUGames,0.05,0,2019-11-040154,0.07,0.07,TCG Player,Burning-Yard Trainer,0.0,Throne_of_Eldraine_Foil
32,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Cast Off,,Throne_of_Eldraine_Foil
33,CoolStuff,12.0,0,2019-11-040154,1.46,1.46,TCG Player,Castle Ardenvale,-4.575159072875977,Throne_of_Eldraine_Foil
34,CoolStuff,10.0,0,2019-11-040154,1.52,1.52,TCG Player,Castle Embereth,-0.6535941958427421,Throne_of_Eldraine_Foil
35,CoolStuff,15.0,0,2019-11-040154,2.31,2.31,TCG Player,Castle Garenbrig,10.526317596435547,Throne_of_Eldraine_Foil
36,CoolStuff,15.0,0,2019-11-040154,2.33,2.33,TCG Player,Castle Locthwain,-13.059706687927244,Throne_of_Eldraine_Foil
37,CoolStuff,15.0,0,2019-11-040154,2.36,2.36,TCG Player,Castle Vantress,-13.553118705749512,Throne_of_Eldraine_Foil
38,ABUGames,0.05,0,2019-11-040154,0.04,0.04,TCG Player,Cauldron's Gift,-42.85714340209961,Throne_of_Eldraine_Foil
39,StrikeZone,1.0,0,2019-11-040154,0.68,0.68,TCG Player,Cauldron Familiar,-19.04761505126953,Throne_of_Eldraine_Foil
40,ABUGames,0.03,0,2019-11-040154,0.04,0.04,TCG Player,Charmed Sleep,-42.85714340209961,Throne_of_Eldraine_Foil
41,CoolStuff,13.0,0,2019-11-040154,1.16,1.16,TCG Player,Charming Prince,-40.51282501220703,Throne_of_Eldraine_Foil
42,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Chittering Witch,,Throne_of_Eldraine_Foil
43,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Chop Down,,Throne_of_Eldraine_Foil
44,StrikeZone,6.0,0,2019-11-040154,7.19,7.19,TCG Player,"Chulane, Teller of Tales",-17.73455047607422,Throne_of_Eldraine_Foil
45,CoolStuff,7.0,0,2019-11-040154,0.75,0.49,Card Kingdom,Clackbridge Troll,-38.01652908325195,Throne_of_Eldraine_Foil
46,ABUGames,0.05,0,2019-11-040154,0.33,0.33,TCG Player,Claim the Firstborn,32.000003814697266,Throne_of_Eldraine_Foil
47,ABUGames,0.03,0,2019-11-040154,0.07,0.07,TCG Player,Clockwork Servant,0.0,Throne_of_Eldraine_Foil
48,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Command Tower,,Throne_of_Eldraine_Foil
49,ABUGames,0.02,0,2019-11-040154,0.18,0.18,TCG Player,Corridor Monitor,-9.999998092651367,Throne_of_Eldraine_Foil
50,ABUGames,0.05,0,2019-11-040154,0.12,0.12,TCG Player,Covetous Urge,0.0,Throne_of_Eldraine_Foil
51,ABUGames,0.03,0,2019-11-040154,0.35000000000000003,0.25,CoolStuff,Crashing Drawbridge,0.0,Throne_of_Eldraine_Foil
52,ABUGames,0.02,0,2019-11-040154,0.11,0.11,TCG Player,Crystal Slipper,0.0,Throne_of_Eldraine_Foil
53,UNDEFINED,0.0,0,2019-11-040154,0.51,0.25,Card Kingdom,Curious Pair,-1.923075079917907,Throne_of_Eldraine_Foil
54,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Curry Favor,,Throne_of_Eldraine_Foil
55,Card Kingdom,0.38,0,2019-11-040154,1.03,0.99,StrikeZone,Dance of the Manse,-8.035717010498049,Throne_of_Eldraine_Foil
56,StrikeZone,1.0,0,2019-11-040154,1.99,1.99,TCG Player,Deafening Silence,-12.334800720214846,Throne_of_Eldraine_Foil
57,ABUGames,0.05,0,2019-11-040154,0.4,0.35,Card Kingdom,Deathless Knight,-2.439022064208984,Throne_of_Eldraine_Foil
58,Card Kingdom,0.06,0,2019-11-040154,0.18,0.18,TCG Player,Didn't Say Please,0.0,Throne_of_Eldraine_Foil
59,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Dizzying Swoop,,Throne_of_Eldraine_Foil
60,TCG Player,0.37,0,2019-11-040154,0.63,0.63,TCG Player,Doom Foretold,-51.53845977783203,Throne_of_Eldraine_Foil
61,ChannelFireball,4.0,0,2019-11-040154,6.74,6.74,TCG Player,Drown in the Loch,-10.013351440429688,Throne_of_Eldraine_Foil
62,ABUGames,0.03,0,2019-11-040154,0.35000000000000003,0.25,Card Kingdom,Dwarven Mine,-5.405407905578613,Throne_of_Eldraine_Foil
63,StrikeZone,0.25,0,2019-11-040154,1.12,0.79,StrikeZone,Edgewall Innkeeper,115.38462829589844,Throne_of_Eldraine_Foil
64,ABUGames,0.05,0,2019-11-040154,0.09,0.09,TCG Player,Elite Headhunter,0.0,Throne_of_Eldraine_Foil
65,ChannelFireball,12.0,0,2019-11-040154,11.0,11.0,TCG Player,Embercleave,-38.88888931274414,Throne_of_Eldraine_Foil
66,ABUGames,0.02,0,2019-11-040154,0.04,0.04,TCG Player,Embereth Paladin,33.333335876464844,Throne_of_Eldraine_Foil
67,UNDEFINED,0.0,0,2019-11-040154,0.95,0.29,Card Kingdom,Embereth Shieldbreaker,0.0,Throne_of_Eldraine_Foil
68,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Embereth Skyblazer,,Throne_of_Eldraine_Foil
69,CoolStuff,50.0,0,2019-11-040154,5.98,5.98,TCG Player,"Emry, Lurker of the Loch",-25.15644454956055,Throne_of_Eldraine_Foil
70,ABUGames,0.05,0,2019-11-040154,0.05,0.05,TCG Player,Enchanted Carriage,-37.499996185302734,Throne_of_Eldraine_Foil
71,ABUGames,0.05,0,2019-11-040154,0.12,0.12,TCG Player,Epic Downfall,-86.9565200805664,Throne_of_Eldraine_Foil
72,ABUGames,4.54,0,2019-11-040154,0.27,0.27,TCG Player,Escape to the Wilds,8.000003814697267,Throne_of_Eldraine_Foil
73,ABUGames,0.02,0,2019-11-040154,0.08,0.08,TCG Player,Eye Collector,14.285712242126465,Throne_of_Eldraine_Foil
74,CoolStuff,40.0,0,2019-11-040154,24.99,24.99,TCG Player,Fabled Passage,-7.4101524353027335,Throne_of_Eldraine_Foil
75,StrikeZone,0.5,0,2019-11-040154,1.79,1.49,Card Kingdom,Fae of Wishes,-12.682926177978516,Throne_of_Eldraine_Foil
76,CoolStuff,1.5,0,2019-11-040154,2.39,2.39,TCG Player,Faeburrow Elder,-17.869415283203125,Throne_of_Eldraine_Foil
77,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Faerie Formation,,Throne_of_Eldraine_Foil
78,UNDEFINED,0.0,0,2019-11-040154,0.18,0.25,Card Kingdom,Faerie Guidemother,0.0,Throne_of_Eldraine_Foil
79,Card Kingdom,0.08,0,2019-11-040154,0.2,0.2,TCG Player,Faerie Vandal,-75.90361785888672,Throne_of_Eldraine_Foil
80,CoolStuff,7.5,0,2019-11-040154,0.66,0.66,TCG Player,Feasting Troll King,15.78947925567627,Throne_of_Eldraine_Foil
81,ABUGames,0.02,0,2019-11-040154,0.08,0.08,TCG Player,Fell the Pheasant,59.99999618530274,Throne_of_Eldraine_Foil
82,ABUGames,0.05,0,2019-11-040154,0.1,0.1,TCG Player,Ferocity of the Wilds,0.0,Throne_of_Eldraine_Foil
83,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Fertile Footsteps,,Throne_of_Eldraine_Foil
84,CoolStuff,10.0,0,2019-11-040154,1.7000000000000002,1.7,TCG Player,Fervent Champion,-30.894309997558594,Throne_of_Eldraine_Foil
85,ABUGames,0.02,0,2019-11-040154,0.04,0.04,TCG Player,Festive Funeral,-20.000003814697266,Throne_of_Eldraine_Foil
86,ABUGames,0.03,0,2019-11-040154,0.08,0.08,TCG Player,Fierce Witchstalker,14.285712242126465,Throne_of_Eldraine_Foil
87,ABUGames,0.03,0,2019-11-040154,0.13,0.13,TCG Player,Fireborn Knight,0.0,Throne_of_Eldraine_Foil
88,ABUGames,15.44,0,2019-11-040154,3.95,3.95,TCG Player,Fires of Invention,0.0,Throne_of_Eldraine_Foil
89,UNDEFINED,0.0,0,2019-11-040154,0.23,0.35,Card Kingdom,Flaxen Intruder,4.545456886291504,Throne_of_Eldraine_Foil
90,ABUGames,0.02,0,2019-11-040154,0.27,0.25,Card Kingdom,Fling,0.0,Throne_of_Eldraine_Foil
91,ABUGames,0.03,0,2019-11-040154,0.07,0.07,TCG Player,Flutterfox,-12.499998092651367,Throne_of_Eldraine_Foil
92,ABUGames,5.07,0,2019-11-040154,1.08,0.79,Card Kingdom,Folio of Fancies,170.00001525878906,Throne_of_Eldraine_Foil
93,ABUGames,0.02,0,2019-11-040154,0.1,0.1,TCG Player,Foreboding Fruit,11.11110782623291,Throne_of_Eldraine_Foil
94,ABUGames,0.06,0,2019-11-040154,0.74,0.49,CoolStuff,Forest,0.0,Throne_of_Eldraine_Foil
95,ABUGames,0.02,0,2019-11-040154,0.15,0.15,TCG Player,Forever Young,36.36364364624024,Throne_of_Eldraine_Foil
96,ABUGames,0.02,0,2019-11-040154,0.03,0.03,TCG Player,Fortifying Provisions,-40.00000381469727,Throne_of_Eldraine_Foil
97,UNDEFINED,0.0,0,2019-11-040154,1.38,0.49,Card Kingdom,Foulmire Knight,-1.4285701513290399,Throne_of_Eldraine_Foil
98,ABUGames,0.05,0,2019-11-040154,0.15,0.15,TCG Player,Frogify,-6.2499942779541025,Throne_of_Eldraine_Foil
99,ABUGames,10.09,0,2019-11-040154,1.38,0.99,Card Kingdom,"Gadwick, the Wizened",74.68354034423828,Throne_of_Eldraine_Foil
100,UNDEFINED,0.0,0,2019-11-040154,0.42,0.25,Card Kingdom,Garenbrig Carver,0.0,Throne_of_Eldraine_Foil
101,UNDEFINED,0.0,0,2019-11-040154,0.04,0.04,TCG Player,Garenbrig Paladin,-42.85714340209961,Throne_of_Eldraine_Foil
102,ABUGames,0.02,0,2019-11-040154,0.02,0.02,TCG Player,Garenbrig Squire,100.0,Throne_of_Eldraine_Foil
103,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Garrison Griffin,,Throne_of_Eldraine_Foil
104,CoolStuff,25.0,0,2019-11-040154,7.24,7.24,TCG Player,"Garruk, Cursed Huntsman",-9.50000286102295,Throne_of_Eldraine_Foil
105,ABUGames,0.02,0,2019-11-040154,0.06,0.06,TCG Player,Giant's Skewer,-14.28571605682373,Throne_of_Eldraine_Foil
106,UNDEFINED,0.0,0,2019-11-040154,0.8,0.49,Card Kingdom,Giant Killer,2.564107894897461,Throne_of_Eldraine_Foil
107,ABUGames,0.06,0,2019-11-040154,0.13,0.13,TCG Player,Giant Opportunity,-13.33333969116211,Throne_of_Eldraine_Foil
108,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Gift of the Fae,,Throne_of_Eldraine_Foil
109,CoolStuff,15.0,0,2019-11-040154,7.32,7.32,TCG Player,Gilded Goose,6.861318111419678,Throne_of_Eldraine_Foil
110,ABUGames,0.06,0,2019-11-040154,0.23,0.23,TCG Player,Gingerbread Cabin,4.545456886291504,Throne_of_Eldraine_Foil
111,ABUGames,0.16,0,2019-11-040154,1.37,1.29,ABUGames,Gingerbrute,11.382112503051758,Throne_of_Eldraine_Foil
112,ABUGames,0.62,0,2019-11-040154,0.27,0.27,TCG Player,Glass Casket,-6.896544933319093,Throne_of_Eldraine_Foil
113,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Gluttonous Troll,,Throne_of_Eldraine_Foil
114,Card Kingdom,0.08,0,2019-11-040154,0.4,0.29,StrikeZone,Golden Egg,11.11110782623291,Throne_of_Eldraine_Foil
115,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Granted,,Throne_of_Eldraine_Foil
116,Card Kingdom,0.38,0,2019-11-040154,0.64,0.64,TCG Player,"Grumgully, the Generous",-11.111116409301758,Throne_of_Eldraine_Foil
117,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Haggle,,Throne_of_Eldraine_Foil
118,CoolStuff,10.0,0,2019-11-040154,0.32,0.32,TCG Player,Happily Ever After,-17.94871711730957,Throne_of_Eldraine_Foil
119,CoolStuff,10.0,0,2019-11-040154,1.75,1.75,TCG Player,Harmonious Archon,36.71875381469727,Throne_of_Eldraine_Foil
120,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Harvest Fear,,Throne_of_Eldraine_Foil
121,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Heart's Desire,,Throne_of_Eldraine_Foil
122,ABUGames,0.02,0,2019-11-040154,0.04,0.04,TCG Player,Henge Walker,-20.000003814697266,Throne_of_Eldraine_Foil
123,ABUGames,0.13,0,2019-11-040154,0.35000000000000003,0.35,TCG Player,Heraldic Banner,-69.02655029296875,Throne_of_Eldraine_Foil
124,CoolStuff,15.0,0,2019-11-040154,1.98,1.98,TCG Player,Hushbringer,-12.389378547668455,Throne_of_Eldraine_Foil
125,UNDEFINED,0.0,0,2019-11-040154,1.41,0.25,Card Kingdom,Hypnotic Sprite,-0.7042247056961061,Throne_of_Eldraine_Foil
126,ABUGames,0.03,0,2019-11-040154,0.17,0.17,TCG Player,Idyllic Grange,-5.555558204650879,Throne_of_Eldraine_Foil
127,ABUGames,0.79,0,2019-11-040154,0.27,0.27,TCG Player,Improbable Alliance,-70.0,Throne_of_Eldraine_Foil
128,ABUGames,0.05,0,2019-11-040154,0.14,0.14,TCG Player,Inquisitive Puppet,7.692312240600586,Throne_of_Eldraine_Foil
129,ABUGames,0.02,0,2019-11-040154,0.08,0.08,TCG Player,Insatiable Appetite,700.0,Throne_of_Eldraine_Foil
130,Card Kingdom,0.16,0,2019-11-040154,0.37,0.37,TCG Player,Inspiring Veteran,8.823529243469238,Throne_of_Eldraine_Foil
131,StrikeZone,2.0,0,2019-11-040154,2.28,2.28,TCG Player,Into the Story,-29.846155166625977,Throne_of_Eldraine_Foil
132,CoolStuff,7.0,0,2019-11-040154,0.5,0.49,Card Kingdom,Irencrag Feat,61.29032516479492,Throne_of_Eldraine_Foil
133,CoolStuff,6.0,0,2019-11-040154,0.78,0.78,TCG Player,Irencrag Pyromancer,-42.22222518920898,Throne_of_Eldraine_Foil
134,Card Kingdom,0.08,0,2019-11-040154,1.05,0.79,Card Kingdom,Island,-0.943395376205444,Throne_of_Eldraine_Foil
135,ABUGames,0.05,0,2019-11-040154,0.07,0.07,TCG Player,Joust,0.0,Throne_of_Eldraine_Foil
136,ABUGames,0.02,0,2019-11-040154,0.1,0.1,TCG Player,Jousting Dummy,-87.9518051147461,Throne_of_Eldraine_Foil
137,ABUGames,0.06,0,2019-11-040154,0.1,0.1,TCG Player,Keeper of Fables,0.0,Throne_of_Eldraine_Foil
138,ABUGames,0.09,0,2019-11-040154,0.54,0.49,Card Kingdom,Kenrith's Transformation,31.70732307434082,Throne_of_Eldraine_Foil
139,ABUGames,2.03,0,2019-11-040154,8.49,7.99,StrikeZone,"Kenrith, the Returned King",6.257822513580322,Throne_of_Eldraine_Foil
140,ABUGames,0.02,0,2019-11-040154,0.04,0.04,TCG Player,Knight of the Keep,-20.000003814697266,Throne_of_Eldraine_Foil
141,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Knights' Charge,,Throne_of_Eldraine_Foil
142,StrikeZone,6.0,0,2019-11-040154,10.49,9.99,Card Kingdom,"Korvold, Fae-Cursed King",18.1306266784668,Throne_of_Eldraine_Foil
143,ABUGames,0.02,0,2019-11-040154,0.03,0.03,TCG Player,Lash of Thorns,-25.0,Throne_of_Eldraine_Foil
144,CoolStuff,7.0,0,2019-11-040154,0.25,0.25,TCG Player,"Linden, the Steadfast Queen",-19.35483932495117,Throne_of_Eldraine_Foil
145,ABUGames,0.03,0,2019-11-040154,0.12,0.12,TCG Player,Loch Dragon,-7.692306518554687,Throne_of_Eldraine_Foil
146,CoolStuff,7.0,0,2019-11-040154,0.44,0.44,TCG Player,Lochmere Serpent,76.0,Throne_of_Eldraine_Foil
147,ABUGames,0.02,0,2019-11-040154,0.19,0.19,ABUGames,Locthwain Gargoyle,0.0,Throne_of_Eldraine_Foil
148,ABUGames,0.02,0,2019-11-040154,0.1,0.1,TCG Player,Locthwain Paladin,11.11110782623291,Throne_of_Eldraine_Foil
149,UNDEFINED,0.0,0,2019-11-040154,0.51,0.25,Card Kingdom,Lonesome Unicorn,0.0,Throne_of_Eldraine_Foil
150,ABUGames,0.05,0,2019-11-040154,0.06,0.06,TCG Player,Lost Legion,-14.28571605682373,Throne_of_Eldraine_Foil
151,UNDEFINED,0.0,0,2019-11-040154,2.01,0.49,Card Kingdom,Lovestruck Beast,0.0,Throne_of_Eldraine_Foil
152,Card Kingdom,0.38,0,2019-11-040154,0.79,0.79,TCG Player,Lucky Clover,51.9230842590332,Throne_of_Eldraine_Foil
153,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Mace of the Valiant,,Throne_of_Eldraine_Foil
154,ABUGames,0.05,0,2019-11-040154,0.09,0.09,TCG Player,Mad Ratter,12.500007629394533,Throne_of_Eldraine_Foil
155,ABUGames,0.05,0,2019-11-040154,0.27,0.25,Card Kingdom,Malevolent Noble,-12.90322208404541,Throne_of_Eldraine_Foil
156,ABUGames,0.02,0,2019-11-040154,0.1,0.1,TCG Player,Mantle of Tides,11.11110782623291,Throne_of_Eldraine_Foil
157,ABUGames,0.05,0,2019-11-040154,0.2,0.2,TCG Player,Maraleaf Pixie,-78.49462890625,Throne_of_Eldraine_Foil
158,ABUGames,0.03,0,2019-11-040154,0.04,0.04,TCG Player,Maraleaf Rider,-20.000003814697266,Throne_of_Eldraine_Foil
159,ABUGames,0.02,0,2019-11-040154,0.24,0.19,ABUGames,Memory Theft,0.0,Throne_of_Eldraine_Foil
160,UNDEFINED,0.0,0,2019-11-040154,0.33,0.49,Card Kingdom,Merchant of the Vale,0.0,Throne_of_Eldraine_Foil
161,UNDEFINED,0.0,0,2019-11-040154,0.25,0.29,StrikeZone,Merfolk Secretkeeper,0.0,Throne_of_Eldraine_Foil
162,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Mesmeric Glare,,Throne_of_Eldraine_Foil
163,ChannelFireball,0.25,0,2019-11-040154,0.38,0.38,TCG Player,Midnight Clock,-62.0,Throne_of_Eldraine_Foil
164,ABUGames,12.62,0,2019-11-040154,2.81,2.81,TCG Player,Mirrormade,-14.329269409179688,Throne_of_Eldraine_Foil
165,ABUGames,0.03,0,2019-11-040154,0.02,0.02,TCG Player,Mistford River Turtle,-33.333335876464844,Throne_of_Eldraine_Foil
166,ABUGames,0.03,0,2019-11-040154,0.01,0.01,TCG Player,Moonlit Scavengers,-50.0,Throne_of_Eldraine_Foil
167,ABUGames,0.06,0,2019-11-040154,0.74,0.49,CoolStuff,Mountain,0.0,Throne_of_Eldraine_Foil
168,Card Kingdom,4.0,0,2019-11-040154,11.22,7.88,StrikeZone,Murderous Rider,9.25024127960205,Throne_of_Eldraine_Foil
169,ABUGames,0.03,0,2019-11-040154,0.09,0.09,TCG Player,Mysterious Pathlighter,-9.999998092651367,Throne_of_Eldraine_Foil
170,StrikeZone,4.0,0,2019-11-040154,5.35,5.35,TCG Player,Mystic Sanctuary,-26.206897735595703,Throne_of_Eldraine_Foil
171,TCG Player,2.04,0,2019-11-040154,5.5,3.99,Card Kingdom,Mystical Dispute,55.80736541748047,Throne_of_Eldraine_Foil
172,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Oaken Boon,,Throne_of_Eldraine_Foil
173,ABUGames,0.05,0,2019-11-040154,0.24,0.24,TCG Player,Oakhame Adversary,19.999996185302734,Throne_of_Eldraine_Foil
174,UNDEFINED,0.0,0,2019-11-040154,0.29,0.29,StrikeZone,Oakhame Ranger,0.0,Throne_of_Eldraine_Foil
175,CoolStuff,7.5,0,2019-11-040154,0.39,0.39,TCG Player,Oathsworn Knight,5.405400276184082,Throne_of_Eldraine_Foil
176,ABUGames,0.03,0,2019-11-040154,0.02,0.02,TCG Player,Ogre Errant,100.0,Throne_of_Eldraine_Foil
177,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Oko's Accomplices,,Throne_of_Eldraine_Foil
178,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Oko's Hospitality,,Throne_of_Eldraine_Foil
179,StrikeZone,40.0,0,2019-11-040154,55.9,55.9,TCG Player,"Oko, Thief of Crowns",-19.85662841796875,Throne_of_Eldraine_Foil
180,StrikeZone,3.0,0,2019-11-040154,2.66,1.99,Card Kingdom,"Oko, the Trickster",-15.01597499847412,Throne_of_Eldraine_Foil
181,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,On Alert,,Throne_of_Eldraine_Foil
182,CoolStuff,50.0,0,2019-11-040154,20.98,20.98,TCG Player,Once Upon a Time,-0.047642823308706006,Throne_of_Eldraine_Foil
183,ABUGames,0.05,0,2019-11-040154,0.16,0.16,TCG Player,Once and Future,100.0,Throne_of_Eldraine_Foil
184,CoolStuff,6.0,0,2019-11-040154,0.25,0.25,TCG Player,Opportunistic Dragon,0.0,Throne_of_Eldraine_Foil
185,Card Kingdom,0.5,0,2019-11-040154,0.56,0.56,TCG Player,Opt,33.333335876464844,Throne_of_Eldraine_Foil
186,UNDEFINED,0.0,0,2019-11-040154,1.43,0.33,StrikeZone,Order of Midnight,0.0,Throne_of_Eldraine_Foil
187,ABUGames,0.02,0,2019-11-040154,0.08,0.08,TCG Player,Outflank,0.0,Throne_of_Eldraine_Foil
188,ABUGames,8.61,0,2019-11-040154,1.59,1.59,TCG Player,Outlaws' Merriment,-19.28934097290039,Throne_of_Eldraine_Foil
189,ABUGames,0.02,0,2019-11-040154,0.08,0.08,TCG Player,Outmuscle,0.0,Throne_of_Eldraine_Foil
190,Card Kingdom,0.16,0,2019-11-040154,0.44,0.44,TCG Player,Overwhelmed Apprentice,12.820516586303713,Throne_of_Eldraine_Foil
191,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Petty Theft,,Throne_of_Eldraine_Foil
192,CoolStuff,8.0,0,2019-11-040154,0.99,0.49,Card Kingdom,Piper of the Swarm,-0.999999046325683,Throne_of_Eldraine_Foil
193,Card Kingdom,0.08,0,2019-11-040154,0.18,0.18,TCG Player,Plains,-79.54545593261719,Throne_of_Eldraine_Foil
194,ABUGames,0.02,0,2019-11-040154,0.06,0.06,TCG Player,Prized Griffin,-14.28571605682373,Throne_of_Eldraine_Foil
195,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Profane Insight,,Throne_of_Eldraine_Foil
196,ABUGames,0.03,0,2019-11-040154,0.19,0.19,ABUGames,Prophet of the Peak,0.0,Throne_of_Eldraine_Foil
197,UNDEFINED,0.0,0,2019-11-040154,0.15,0.25,Card Kingdom,Queen of Ice,0.0,Throne_of_Eldraine_Foil
198,StrikeZone,25.0,0,2019-11-040154,26.98,26.98,TCG Player,Questing Beast,-30.820512771606445,Throne_of_Eldraine_Foil
199,UNDEFINED,0.0,0,2019-11-040154,0.0,999999.0,Unknown,Rage of Winter,,Throne_of_Eldraine_Foil
200,ABUGames,0.02,0,2019-11-040154,0.08,0.08,TCG Player,Raging Redcap,59.99999618530274,Throne_of_Eldraine_Foil
